state,statenm,year,strict,nstrict,employm,workers,pertot,nsdpmanr,nsdpman
1,Andhra Pradesh,1949,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1950,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1951,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1952,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1953,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1954,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1955,0,-1,NA,NA,NA,NA,NA
1,Andhra Pradesh,1956,0,-1,46.986000061035156,NA,NA,NA,NA
1,Andhra Pradesh,1957,0,-1,46.86199951171875,NA,NA,NA,NA
1,Andhra Pradesh,1958,0,-1,56.24800109863281,NA,NA,NA,NA
1,Andhra Pradesh,1959,0,-1,44.20000076293945,NA,NA,NA,NA
1,Andhra Pradesh,1960,0,-1,50,NA,NA,3186,7659
1,Andhra Pradesh,1961,0,-1,54,NA,NA,3657,8608
1,Andhra Pradesh,1962,0,-1,62,NA,NA,3697,9098
1,Andhra Pradesh,1963,0,-1,59,NA,NA,4674,10986
1,Andhra Pradesh,1964,0,-1,74,NA,NA,5501,12288
1,Andhra Pradesh,1965,0,-1,65,NA,NA,5925,13575
1,Andhra Pradesh,1966,0,-1,79,NA,NA,6531,14478
1,Andhra Pradesh,1967,0,-1,79,NA,NA,5781,14415
1,Andhra Pradesh,1968,-1,-2,89,NA,NA,7102,16871
1,Andhra Pradesh,1969,-1,-2,89,277.2030029296875,333.260986328125,9219,19607
1,Andhra Pradesh,1970,-1,-2,96,269.2099914550781,325.1080017089844,10382,22135
1,Andhra Pradesh,1971,-1,-2,110,284.9700012207031,339.86700439453125,11351,26736
1,Andhra Pradesh,1972,-1,-2,113,NA,NA,13272,28901
1,Andhra Pradesh,1973,-1,-2,184,324.0320129394531,389.7619934082031,17053,37867
1,Andhra Pradesh,1974,-1,-2,138,350.4209899902344,439.9429931640625,25221,48600
1,Andhra Pradesh,1975,-1,-2,132,374.0889892578125,466.06201171875,28015,49673
1,Andhra Pradesh,1976,-1,-2,154,460.9779968261719,561.65802001953125,30244,51048
1,Andhra Pradesh,1977,-1,-2,191,486.90301513671875,589.448974609375,33228,56671
1,Andhra Pradesh,1978,-1,-2,160,539.74298095703125,644.4949951171875,38589,66173
1,Andhra Pradesh,1979,-1,-2,195,569.7230224609375,701.75,45216,77817
